onset	duration	trial_type	value	sample
8.0	5.0	left_hand	1	4096
17.0	5.0	left_hand	1	8704
27.0	5.0	left_hand	1	13824
36.0	5.0	left_hand	1	18432
47.0	5.0	right_hand	2	24064
57.0	5.0	left_hand	1	29184
67.0	5.0	right_hand	2	34304
77.0	5.0	left_hand	1	39424
88.0	5.0	left_hand	1	45056
99.0	5.0	right_hand	2	50688
110.0	5.0	right_hand	2	56320
119.0	5.0	left_hand	1	60928
130.0	5.0	left_hand	1	66560
141.0	5.0	left_hand	1	72192
151.0	5.0	right_hand	2	77312
160.0	5.0	left_hand	1	81920
169.0	5.0	right_hand	2	86528
178.0	5.0	left_hand	1	91136
188.0	5.0	right_hand	2	96256
197.0	5.0	right_hand	2	100864
206.0	5.0	left_hand	1	105472
217.0	5.0	right_hand	2	111104
227.0	5.0	right_hand	2	116224
236.0	5.0	left_hand	1	120832
245.0	5.0	left_hand	1	125440
254.0	5.0	left_hand	1	130048
264.0	5.0	right_hand	2	135168
274.0	5.0	left_hand	1	140288
284.0	5.0	right_hand	2	145408
294.0	5.0	left_hand	1	150528
304.0	5.0	right_hand	2	155648
313.0	5.0	left_hand	1	160256
323.0	5.0	right_hand	2	165376
333.0	5.0	right_hand	2	170496
343.0	5.0	right_hand	2	175616
352.0	5.0	right_hand	2	180224
362.0	5.0	right_hand	2	185344
373.0	5.0	right_hand	2	190976
384.0	5.0	right_hand	2	196608
394.0	5.0	left_hand	1	201728
